symbol,total_pairs,min_horizon_sessions,max_horizon_sessions,distinct_ref_dates,distinct_tgt_dates
LGEINDIA,21,1,7,6,6
LENSKART,21,1,7,6,6
LEMONTREE,21,1,7,6,6
LEAPIND,21,1,7,6,6
LCL,21,1,7,6,6
FUSION,21,1,7,6,6
FSL,21,1,7,6,6
FRACTAL,21,1,7,6,6
FORTIS,21,1,7,6,6
SHILPAMED,21,1,7,6,6
SHILCTECH,21,1,7,6,6
SHAREINDIA,21,1,7,6,6
SHARDAMOTR,21,1,7,6,6
SHARDACROP,21,1,7,6,6
SHANTIGOLD,21,1,7,6,6
SHAKTIPUMP,21,1,7,6,6
SHAILY,21,1,7,6,6
SHADOWFAX,21,1,7,6,6
ANDHRSUGAR,21,1,7,6,6
AGL,21,1,8,6,6
SOUTHBANK,21,1,7,6,6
KNRCON,21,1,7,6,6
KNACK,21,1,7,6,6
GMRP&UI,21,1,7,6,6
LANDSMILL,21,1,7,6,6
LALPATHLAB,21,1,7,6,6
KWIL,21,1,7,6,6
KTKBANK,21,1,7,6,6
KSHINTL,21,1,7,6,6
KROSS,21,1,7,6,6
KRN,21,1,7,6,6
KRISHNADEF,21,1,7,6,6
KRISHANA,21,1,7,6,6
KRBL,21,1,7,6,6
KPRMILL,21,1,7,6,6
GHCLTEXTIL,21,1,7,6,6
GABRIEL,21,1,7,6,6
KLBRENG-B,21,1,7,6,6
KIRLPNU,21,1,7,6,6
KIRLOSENG,21,1,7,6,6
KIRIINDUS,21,1,7,6,6
KIMS,21,1,7,6,6
KFINTECH,21,1,7,6,6
GOODLUCK,21,1,7,6,6
GOKULAGRO,21,1,7,6,6
GHCL,21,1,7,6,6
GESHIP,21,1,7,6,6
GENUSPOWER,21,1,7,6,6
KPITTECH,21,1,7,6,6
KPIL,21,1,7,6,6
KPIGREEN,21,1,7,6,6
KOTAKBANK,21,1,7,6,6
KOHINOOR,21,1,7,6,6
STEELXIND,21,1,7,6,6
STAR,21,1,7,6,6
SSWL,21,1,7,6,6
KENNAMET,21,1,7,6,6
KELLTONTEC,21,1,7,6,6
KEI,21,1,7,6,6
KEC,21,1,7,6,6
KAYNES,21,1,7,6,6
KARURVYSYA,21,1,7,6,6
GREAVESCOT,21,1,7,6,6
GRAVITA,21,1,7,6,6
GRAUWEIL,21,1,7,6,6
GLENMARK,21,1,7,6,6
GLAXO,21,1,7,6,6
GLAND,21,1,7,6,6
GKSL,21,1,7,6,6
GSPCROP,21,1,7,6,6
GSFC,21,1,7,6,6
GODIGIT,21,1,7,6,6
KERNEX,21,1,7,6,6
SOLARINDS,21,1,7,6,6
SOLARA,21,1,7,6,6
SMSPHARMA,21,1,7,6,6
SMLMAH,21,1,7,6,6
ALOKINDS,21,1,8,6,6
ALLCARGO,21,1,8,6,6
ALKYLAMINE,21,1,8,6,6
ALEMBICLTD,21,1,8,6,6
SKYGOLD,21,1,7,6,6
SKMEGGPROD,21,1,7,6,6
AEGISVOPAK,21,1,8,6,6
AEGISLOG,21,1,8,6,6
JNKINDIA,21,1,7,6,6
JMFINANCIL,21,1,7,6,6
HATSUN,21,1,6,6,6
HATHWAY,21,1,7,6,6
GPPL,21,1,7,6,6
GPIL,21,1,7,6,6
KALYANKJIL,21,1,7,6,6
KAJARIACER,21,1,7,6,6
JYOTICNC,21,1,7,6,6
JYOTHYLAB,21,1,7,6,6
JWL,21,1,7,6,6
JUBLPHARMA,21,1,7,6,6
JUBLINGREA,21,1,7,6,6
JUBLFOOD,21,1,7,6,6
GUJALKALI,21,1,7,6,6
GUFICBIO,21,1,7,6,6
JINDALSTEL,21,1,7,6,6
JINDALSAW,21,1,7,6,6
JBMA,21,1,7,6,6
HEIDELBERG,21,1,7,6,6
HDFCLIFE,21,1,7,6,6
GROWW,21,1,7,6,6
GREENPOWER,21,1,7,6,6
JTLIND,21,1,7,6,6
JSWSTEEL,21,1,7,6,6
JSWINFRA,21,1,7,6,6
JSWENERGY,21,1,7,6,6
JSWDULUX,21,1,7,6,6
JSWCEMENT,21,1,7,6,6
JSL,21,1,7,6,6
JPPOWER,21,1,7,6,6
JNPR,21,1,7,6,6
HINDALCO,21,1,7,6,6
HIKAL,21,1,7,6,6
HAPPSTMNDS,21,1,7,6,6
